Question;SQL;SQL_SQLITE
Quantos funcionarios existem?;"SELECT count(*) FROM db.employees;";"SELECT count(*) FROM db.employees;"
Qual o total de funcionarios?;"SELECT count(*) FROM db.employees;";"SELECT count(*) FROM db.employees;"
Qual a quantidade de funcionarios?;"SELECT count(*) FROM db.employees;";"SELECT count(*) FROM db.employees;"
Contagem de todos os funcionarios;"SELECT count(*) FROM db.employees;";"SELECT count(*) FROM db.employees;"
Total de funcionarios;"SELECT count(*) FROM db.employees;";"SELECT count(*) FROM db.employees;"
Qual o vendedor que vendeu mais?;"SELECT CONCAT(EM.FirstName,"" "", EM.LastName) as vendedor, sum(INV.Total) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId LEFT JOIN db.invoices INV ON EM.EmployeeId - INV.InvoiceId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2  DESC LIMIT 1;";"SELECT EM.FirstName || "" "" ||  EM.LastName as vendedor, sum(INV.Total) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId LEFT JOIN db.invoices INV ON EM.EmployeeId - INV.InvoiceId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2  DESC LIMIT 1;"
Quem vende mais?;"SELECT CONCAT(EM.FirstName,"" "", EM.LastName) as vendedor, sum(INV.Total) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId LEFT JOIN db.invoices INV ON EM.EmployeeId - INV.InvoiceId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2  DESC LIMIT 1;";"SELECT EM.FirstName || "" "" ||  EM.LastName as vendedor, sum(INV.Total) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId LEFT JOIN db.invoices INV ON EM.EmployeeId - INV.InvoiceId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2  DESC LIMIT 1;"
Melhor vendedor;"SELECT CONCAT(EM.FirstName,"" "", EM.LastName) as vendedor, sum(INV.Total) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId LEFT JOIN db.invoices INV ON EM.EmployeeId - INV.InvoiceId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2  DESC LIMIT 1;";"SELECT EM.FirstName || "" "" ||  EM.LastName as vendedor, sum(INV.Total) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId LEFT JOIN db.invoices INV ON EM.EmployeeId - INV.InvoiceId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2  DESC LIMIT 1;"
Primeiro em vendas;"SELECT CONCAT(EM.FirstName,"" "", EM.LastName) as vendedor, sum(INV.Total) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId LEFT JOIN db.invoices INV ON EM.EmployeeId - INV.InvoiceId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2  DESC LIMIT 1;";"SELECT EM.FirstName || "" "" ||  EM.LastName as vendedor, sum(INV.Total) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId LEFT JOIN db.invoices INV ON EM.EmployeeId - INV.InvoiceId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2  DESC LIMIT 1;"
Quem tem a maior quantidade de vendar?;"SELECT CONCAT(EM.FirstName,"" "", EM.LastName) as vendedor, sum(INV.Total) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId LEFT JOIN db.invoices INV ON EM.EmployeeId - INV.InvoiceId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2  DESC LIMIT 1;";"SELECT EM.FirstName || "" "" ||  EM.LastName as vendedor, sum(INV.Total) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId LEFT JOIN db.invoices INV ON EM.EmployeeId - INV.InvoiceId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2  DESC LIMIT 1;"
Quem é o melhor dos vendedores?;"SELECT CONCAT(EM.FirstName,"" "", EM.LastName) as vendedor, sum(INV.Total) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId LEFT JOIN db.invoices INV ON EM.EmployeeId - INV.InvoiceId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2  DESC LIMIT 1;";"SELECT EM.FirstName || "" "" ||  EM.LastName as vendedor, sum(INV.Total) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId LEFT JOIN db.invoices INV ON EM.EmployeeId - INV.InvoiceId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2  DESC LIMIT 1;"
Qual o vendedor que vendeu menos?;"SELECT CONCAT(EM.FirstName,"" "", EM.LastName) as vendedor,  sum(INV.Total) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId LEFT JOIN db.invoices INV ON EM.EmployeeId - INV.InvoiceId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2  LIMIT 1;";"SELECT EM.FirstName || "" "" ||  EM.LastName as vendedor,  sum(INV.Total) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId LEFT JOIN db.invoices INV ON EM.EmployeeId - INV.InvoiceId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2  LIMIT 1;"
Quem vende menos?;"SELECT CONCAT(EM.FirstName,"" "", EM.LastName) as vendedor,  sum(INV.Total) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId LEFT JOIN db.invoices INV ON EM.EmployeeId - INV.InvoiceId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2  LIMIT 1;";"SELECT EM.FirstName || "" "" ||  EM.LastName as vendedor,  sum(INV.Total) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId LEFT JOIN db.invoices INV ON EM.EmployeeId - INV.InvoiceId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2  LIMIT 1;"
Pior vendedor;"SELECT CONCAT(EM.FirstName,"" "", EM.LastName) as vendedor,  sum(INV.Total) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId LEFT JOIN db.invoices INV ON EM.EmployeeId - INV.InvoiceId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2  LIMIT 1;";"SELECT EM.FirstName || "" "" ||  EM.LastName as vendedor,  sum(INV.Total) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId LEFT JOIN db.invoices INV ON EM.EmployeeId - INV.InvoiceId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2  LIMIT 1;"
Ultimo  em vendas;"SELECT CONCAT(EM.FirstName,"" "", EM.LastName) as vendedor,  sum(INV.Total) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId LEFT JOIN db.invoices INV ON EM.EmployeeId - INV.InvoiceId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2  LIMIT 1;";"SELECT EM.FirstName || "" "" ||  EM.LastName as vendedor,  sum(INV.Total) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId LEFT JOIN db.invoices INV ON EM.EmployeeId - INV.InvoiceId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2  LIMIT 1;"
Quem tem a menor quantidade de vendar?;"SELECT CONCAT(EM.FirstName,"" "", EM.LastName) as vendedor,  sum(INV.Total) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId LEFT JOIN db.invoices INV ON EM.EmployeeId - INV.InvoiceId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2  LIMIT 1;";"SELECT EM.FirstName || "" "" ||  EM.LastName as vendedor,  sum(INV.Total) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId LEFT JOIN db.invoices INV ON EM.EmployeeId - INV.InvoiceId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2  LIMIT 1;"
Quem é o pior dos vendedores?;"SELECT CONCAT(EM.FirstName,"" "", EM.LastName) as vendedor,  sum(INV.Total) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId LEFT JOIN db.invoices INV ON EM.EmployeeId - INV.InvoiceId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2  LIMIT 1;";"SELECT EM.FirstName || "" "" ||  EM.LastName as vendedor,  sum(INV.Total) AS QNT FROM db.employees EM LEFT JOIN db.customers CU ON EM.EmployeeId = CU.SupportRepId LEFT JOIN db.invoices INV ON EM.EmployeeId - INV.InvoiceId where EM.Title = 'Sales Support Agent' GROUP BY 1 ORDER BY 2  LIMIT 1;"
Qual é o cliente que mais comprou?;"SELECT CONCAT(CU.FirstName,"" "", CU.LastName) as cliente, sum(INV.Total) FROM db.customers CU LEFT JOIN db.invoices INV ON CU.CustomerId - INV.CustomerId group by 1 ORDER BY 2 desc LIMIT 1;";"SELECT CU.FirstName || "" "" ||  CU.LastName as cliente, sum(INV.Total) FROM db.customers CU LEFT JOIN db.invoices INV ON CU.CustomerId - INV.CustomerId group by 1 ORDER BY 2 desc LIMIT 1;"
Quem é o cliente que compra mais?;"SELECT CONCAT(CU.FirstName,"" "", CU.LastName) as cliente, sum(INV.Total) FROM db.customers CU LEFT JOIN db.invoices INV ON CU.CustomerId - INV.CustomerId group by 1 ORDER BY 2 desc LIMIT 1;";"SELECT CU.FirstName || "" "" ||  CU.LastName as cliente, sum(INV.Total) FROM db.customers CU LEFT JOIN db.invoices INV ON CU.CustomerId - INV.CustomerId group by 1 ORDER BY 2 desc LIMIT 1;"
Qual o cliente que gasta mais?;"SELECT CONCAT(CU.FirstName,"" "", CU.LastName) as cliente, sum(INV.Total) FROM db.customers CU LEFT JOIN db.invoices INV ON CU.CustomerId - INV.CustomerId group by 1 ORDER BY 2 desc LIMIT 1;";"SELECT CU.FirstName || "" "" ||  CU.LastName as cliente, sum(INV.Total) FROM db.customers CU LEFT JOIN db.invoices INV ON CU.CustomerId - INV.CustomerId group by 1 ORDER BY 2 desc LIMIT 1;"
Maior comprador;"SELECT CONCAT(CU.FirstName,"" "", CU.LastName) as cliente, sum(INV.Total) FROM db.customers CU LEFT JOIN db.invoices INV ON CU.CustomerId - INV.CustomerId group by 1 ORDER BY 2 desc LIMIT 1;";"SELECT CU.FirstName || "" "" ||  CU.LastName as cliente, sum(INV.Total) FROM db.customers CU LEFT JOIN db.invoices INV ON CU.CustomerId - INV.CustomerId group by 1 ORDER BY 2 desc LIMIT 1;"
Melhor comprador;"SELECT CONCAT(CU.FirstName,"" "", CU.LastName) as cliente, sum(INV.Total) FROM db.customers CU LEFT JOIN db.invoices INV ON CU.CustomerId - INV.CustomerId group by 1 ORDER BY 2 desc LIMIT 1;";"SELECT CU.FirstName || "" "" ||  CU.LastName as cliente, sum(INV.Total) FROM db.customers CU LEFT JOIN db.invoices INV ON CU.CustomerId - INV.CustomerId group by 1 ORDER BY 2 desc LIMIT 1;"
Qual é o cliente que menos comprou?;"SELECT CONCAT(CU.FirstName,"" "", CU.LastName) as cliente, sum(INV.Total) FROM db.customers CU LEFT JOIN db.invoices INV ON CU.CustomerId - INV.CustomerId group by 1 ORDER BY 2 LIMIT 1;";"SELECT CU.FirstName || "" "" ||  CU.LastName as cliente, sum(INV.Total) FROM db.customers CU LEFT JOIN db.invoices INV ON CU.CustomerId - INV.CustomerId group by 1 ORDER BY 2 LIMIT 1;"
Quem é o cliente que compra menos?;"SELECT CONCAT(CU.FirstName,"" "", CU.LastName) as cliente, sum(INV.Total) FROM db.customers CU LEFT JOIN db.invoices INV ON CU.CustomerId - INV.CustomerId group by 1 ORDER BY 2 LIMIT 1;";"SELECT CU.FirstName || "" "" ||  CU.LastName as cliente, sum(INV.Total) FROM db.customers CU LEFT JOIN db.invoices INV ON CU.CustomerId - INV.CustomerId group by 1 ORDER BY 2 LIMIT 1;"
Qual o cliente que gasta menos?;"SELECT CONCAT(CU.FirstName,"" "", CU.LastName) as cliente, sum(INV.Total) FROM db.customers CU LEFT JOIN db.invoices INV ON CU.CustomerId - INV.CustomerId group by 1 ORDER BY 2 LIMIT 1;";"SELECT CU.FirstName || "" "" ||  CU.LastName as cliente, sum(INV.Total) FROM db.customers CU LEFT JOIN db.invoices INV ON CU.CustomerId - INV.CustomerId group by 1 ORDER BY 2 LIMIT 1;"
Pior comprador;"SELECT CONCAT(CU.FirstName,"" "", CU.LastName) as cliente, sum(INV.Total) FROM db.customers CU LEFT JOIN db.invoices INV ON CU.CustomerId - INV.CustomerId group by 1 ORDER BY 2 LIMIT 1;";"SELECT CU.FirstName || "" "" ||  CU.LastName as cliente, sum(INV.Total) FROM db.customers CU LEFT JOIN db.invoices INV ON CU.CustomerId - INV.CustomerId group by 1 ORDER BY 2 LIMIT 1;"
Menor comprador;"SELECT CONCAT(CU.FirstName,"" "", CU.LastName) as cliente, sum(INV.Total) FROM db.customers CU LEFT JOIN db.invoices INV ON CU.CustomerId - INV.CustomerId group by 1 ORDER BY 2 LIMIT 1;";"SELECT CU.FirstName || "" "" ||  CU.LastName as cliente, sum(INV.Total) FROM db.customers CU LEFT JOIN db.invoices INV ON CU.CustomerId - INV.CustomerId group by 1 ORDER BY 2 LIMIT 1;"
Qual é a musica mais vendida?;"SELECT tracks.Name, sum(itens.Quantity) FROM db.tracks as tracks  LEFT JOIN db.invoice_items as itens on itens.TrackId = tracks.TrackId group by 1 order by 2 desc limit 1;";"SELECT tracks.Name, sum(itens.Quantity) FROM db.tracks as tracks  LEFT JOIN db.invoice_items as itens on itens.TrackId = tracks.TrackId group by 1 order by 2 desc limit 1;"
Qual musica vende mais?;"SELECT tracks.Name, sum(itens.Quantity) FROM db.tracks as tracks  LEFT JOIN db.invoice_items as itens on itens.TrackId = tracks.TrackId group by 1 order by 2 desc limit 1;";"SELECT tracks.Name, sum(itens.Quantity) FROM db.tracks as tracks  LEFT JOIN db.invoice_items as itens on itens.TrackId = tracks.TrackId group by 1 order by 2 desc limit 1;"
Qual musica faz mais sucesso?;"SELECT tracks.Name, sum(itens.Quantity) FROM db.tracks as tracks  LEFT JOIN db.invoice_items as itens on itens.TrackId = tracks.TrackId group by 1 order by 2 desc limit 1;";"SELECT tracks.Name, sum(itens.Quantity) FROM db.tracks as tracks  LEFT JOIN db.invoice_items as itens on itens.TrackId = tracks.TrackId group by 1 order by 2 desc limit 1;"
O que mais vende?;"SELECT tracks.Name, sum(itens.Quantity) FROM db.tracks as tracks  LEFT JOIN db.invoice_items as itens on itens.TrackId = tracks.TrackId group by 1 order by 2 desc limit 1;";"SELECT tracks.Name, sum(itens.Quantity) FROM db.tracks as tracks  LEFT JOIN db.invoice_items as itens on itens.TrackId = tracks.TrackId group by 1 order by 2 desc limit 1;"
Sucesso de vendas;"SELECT tracks.Name, sum(itens.Quantity) FROM db.tracks as tracks  LEFT JOIN db.invoice_items as itens on itens.TrackId = tracks.TrackId group by 1 order by 2 desc limit 1;";"SELECT tracks.Name, sum(itens.Quantity) FROM db.tracks as tracks  LEFT JOIN db.invoice_items as itens on itens.TrackId = tracks.TrackId group by 1 order by 2 desc limit 1;"
Qual musica deu certo?;"SELECT tracks.Name, sum(itens.Quantity) FROM db.tracks as tracks  LEFT JOIN db.invoice_items as itens on itens.TrackId = tracks.TrackId group by 1 order by 2 desc limit 1;";"SELECT tracks.Name, sum(itens.Quantity) FROM db.tracks as tracks  LEFT JOIN db.invoice_items as itens on itens.TrackId = tracks.TrackId group by 1 order by 2 desc limit 1;"
Qual é a musica menos vendida?;"SELECT tracks.Name, sum(itens.Quantity) FROM db.tracks as tracks  LEFT JOIN db.invoice_items as itens on itens.TrackId = tracks.TrackId group by 1 order by 2  limit 1;";"SELECT tracks.Name, sum(itens.Quantity) FROM db.tracks as tracks  LEFT JOIN db.invoice_items as itens on itens.TrackId = tracks.TrackId group by 1 order by 2  limit 1;"
O que vende menos?;"SELECT tracks.Name, sum(itens.Quantity) FROM db.tracks as tracks  LEFT JOIN db.invoice_items as itens on itens.TrackId = tracks.TrackId group by 1 order by 2  limit 1;";"SELECT tracks.Name, sum(itens.Quantity) FROM db.tracks as tracks  LEFT JOIN db.invoice_items as itens on itens.TrackId = tracks.TrackId group by 1 order by 2  limit 1;"
Fracasso de vendas;"SELECT tracks.Name, sum(itens.Quantity) FROM db.tracks as tracks  LEFT JOIN db.invoice_items as itens on itens.TrackId = tracks.TrackId group by 1 order by 2  limit 1;";"SELECT tracks.Name, sum(itens.Quantity) FROM db.tracks as tracks  LEFT JOIN db.invoice_items as itens on itens.TrackId = tracks.TrackId group by 1 order by 2  limit 1;"
Qual musica faz menos sucesso?;"SELECT tracks.Name, sum(itens.Quantity) FROM db.tracks as tracks  LEFT JOIN db.invoice_items as itens on itens.TrackId = tracks.TrackId group by 1 order by 2  limit 1;";"SELECT tracks.Name, sum(itens.Quantity) FROM db.tracks as tracks  LEFT JOIN db.invoice_items as itens on itens.TrackId = tracks.TrackId group by 1 order by 2  limit 1;"
Qual musica foi um fracasso?;"SELECT tracks.Name, sum(itens.Quantity) FROM db.tracks as tracks  LEFT JOIN db.invoice_items as itens on itens.TrackId = tracks.TrackId group by 1 order by 2  limit 1;";"SELECT tracks.Name, sum(itens.Quantity) FROM db.tracks as tracks  LEFT JOIN db.invoice_items as itens on itens.TrackId = tracks.TrackId group by 1 order by 2  limit 1;"
Qual musicao deu errado?;"SELECT tracks.Name, sum(itens.Quantity) FROM db.tracks as tracks  LEFT JOIN db.invoice_items as itens on itens.TrackId = tracks.TrackId group by 1 order by 2  limit 1;";"SELECT tracks.Name, sum(itens.Quantity) FROM db.tracks as tracks  LEFT JOIN db.invoice_items as itens on itens.TrackId = tracks.TrackId group by 1 order by 2  limit 1;"
Qual o artista com mais albuns?;select art.Name,count(alb.Title) from db.artists art left join db.albums alb on  art.ArtistId = alb.ArtistId group by art.Name order by 2 desc LIMIT 1;select art.Name,count(alb.Title) from db.artists art left join db.albums alb on  art.ArtistId = alb.ArtistId group by art.Name order by 2 desc LIMIT 1
Qual o artista que lançou mais CDS?;select art.Name,count(alb.Title) from db.artists art left join db.albums alb on  art.ArtistId = alb.ArtistId group by art.Name order by 2 desc LIMIT 1;select art.Name,count(alb.Title) from db.artists art left join db.albums alb on  art.ArtistId = alb.ArtistId group by art.Name order by 2 desc LIMIT 1
Qual o artista que mais trabalhou?;select art.Name,count(alb.Title) from db.artists art left join db.albums alb on  art.ArtistId = alb.ArtistId group by art.Name order by 2 desc LIMIT 1;select art.Name,count(alb.Title) from db.artists art left join db.albums alb on  art.ArtistId = alb.ArtistId group by art.Name order by 2 desc LIMIT 1
Quem tem mais discos?;select art.Name,count(alb.Title) from db.artists art left join db.albums alb on  art.ArtistId = alb.ArtistId group by art.Name order by 2 desc LIMIT 1;select art.Name,count(alb.Title) from db.artists art left join db.albums alb on  art.ArtistId = alb.ArtistId group by art.Name order by 2 desc LIMIT 1
Quem gravou mais?;select art.Name,count(alb.Title) from db.artists art left join db.albums alb on  art.ArtistId = alb.ArtistId group by art.Name order by 2 desc LIMIT 1;select art.Name,count(alb.Title) from db.artists art left join db.albums alb on  art.ArtistId = alb.ArtistId group by art.Name order by 2 desc LIMIT 1
Maior gravador;select art.Name,count(alb.Title) from db.artists art left join db.albums alb on  art.ArtistId = alb.ArtistId group by art.Name order by 2 desc LIMIT 1;select art.Name,count(alb.Title) from db.artists art left join db.albums alb on  art.ArtistId = alb.ArtistId group by art.Name order by 2 desc LIMIT 1
Qual o artista com menos albuns?;select art.Name,count(alb.Title) from db.artists art left join db.albums alb on art.ArtistId = alb.ArtistId group by art.Name order by 2 LIMIT 1;select art.Name,count(alb.Title) from db.artists art left join db.albums alb on art.ArtistId = alb.ArtistId group by art.Name order by 2 LIMIT 1
Qual o artista que lançou menos CDS?;select art.Name,count(alb.Title) from db.artists art left join db.albums alb on art.ArtistId = alb.ArtistId group by art.Name order by 2 LIMIT 1;select art.Name,count(alb.Title) from db.artists art left join db.albums alb on art.ArtistId = alb.ArtistId group by art.Name order by 2 LIMIT 1
Qual o artista que menos trabalhou?;select art.Name,count(alb.Title) from db.artists art left join db.albums alb on art.ArtistId = alb.ArtistId group by art.Name order by 2 LIMIT 1;select art.Name,count(alb.Title) from db.artists art left join db.albums alb on art.ArtistId = alb.ArtistId group by art.Name order by 2 LIMIT 1
Quem tem menos discos?;select art.Name,count(alb.Title) from db.artists art left join db.albums alb on art.ArtistId = alb.ArtistId group by art.Name order by 2 LIMIT 1;select art.Name,count(alb.Title) from db.artists art left join db.albums alb on art.ArtistId = alb.ArtistId group by art.Name order by 2 LIMIT 1
Quem gravou menos?;select art.Name,count(alb.Title) from db.artists art left join db.albums alb on art.ArtistId = alb.ArtistId group by art.Name order by 2 LIMIT 1;select art.Name,count(alb.Title) from db.artists art left join db.albums alb on art.ArtistId = alb.ArtistId group by art.Name order by 2 LIMIT 1
Musica longa;select tr.Name, tr.Milliseconds from db.tracks tr order by 2 desc limit 1;select tr.Name, tr.Milliseconds from db.tracks tr order by 2 desc limit 1
